Img	Target_Label	Epsilon	Objective_Value	Label
1	0	0.05	-5.517948749908182	2
1	1	0.05	-5.48255227536217	2
1	3	0.05	0.0574282627829697	2
1	4	0.05	-5.65825731850093	2
1	5	0.05	-2.882450238738272	2
1	6	0.05	-1.0901962778794856	2
1	7	0.05	-5.483509743801851	2
1	8	0.05	-3.013464283062851	2
1	9	0.05	-5.5075061844534785	2
2	1	0.05	-7.474319438131689	0
2	2	0.05	-6.864455070495426	0
2	3	0.05	-7.559713563560621	0
2	4	0.05	-7.618032761498065	0
2	5	0.05	-7.200366862652752	0
2	6	0.05	-7.329722677160192	0
2	7	0.05	-7.480380895402002	0
2	8	0.05	-7.249870248654007	0
2	9	0.05	-7.513975614009543	0
3	0	0.05	-7.864927000470358	4
3	1	0.05	-7.8791337597144855	4
3	2	0.05	-7.908026056482989	4
3	3	0.05	-7.176243119790955	4
3	5	0.05	-7.9446885222117976	4
3	6	0.05	-7.79858864490256	4
3	7	0.05	-7.885218221849209	4
3	8	0.05	-7.943552521872066	4
3	9	0.05	-5.464512264682765	4
4	0	0.05	-1.7177170729815228	8
4	1	0.05	0.4702401759935753	8
4	2	0.05	1.900163161397723	8
4	3	0.05	3.425115621860357	8
4	4	0.05	-1.8615085720201123	8
4	5	0.05	2.417331877106639	8
4	6	0.05	2.813088746410798	8
4	7	0.05	-1.730464242889813	8
4	9	0.05	-1.326594143771979	8
5	0	0.05	-7.639387541437435	7
5	1	0.05	-7.4731499762780995	7
5	2	0.05	-7.676770226305069	7
5	3	0.05	-7.708142041101002	7
5	4	0.05	-7.708541961539647	7
5	5	0.05	-7.737922367450542	7
5	6	0.05	-7.615021114980114	7
5	8	0.05	-7.73460994272736	7
5	9	0.05	-7.4886475519003755	7
6	0	0.05	-7.745343567747734	6
6	1	0.05	-7.7475294446582055	6
6	2	0.05	-7.7787773198957835	6
6	3	0.05	-7.829370936236966	6
6	4	0.05	-7.873447229236521	6
6	5	0.05	-7.579107529865867	6
6	7	0.05	-7.806049095383583	6
6	8	0.05	-7.837058404409189	6
6	9	0.05	-7.689418735289696	6
7	1	0.05	-7.614089451485961	0
7	2	0.05	-7.650772554514794	0
7	3	0.05	-7.6952533350312144	0
7	4	0.05	-7.754138694008094	0
7	5	0.05	-7.2642409300260535	0
7	6	0.05	-7.486489007390263	0
7	7	0.05	-7.2797265784623235	0
7	8	0.05	-7.674450689412362	0
7	9	0.05	-7.501158561105392	0
8	0	0.05	1.1941517151602126	6
8	1	0.05	-1.6041227002185758	6
8	2	0.05	1.6780827660497304	6
8	3	0.05	-1.699008323977711	6
8	4	0.05	-1.7663888302132182	6
8	5	0.05	5.627864381064896	6
8	7	0.05	-1.6671467083165534	6
8	8	0.05	3.4319297540898996	6
8	9	0.05	-1.6667983101209536	6
9	0	0.05	-3.0500180639946226	3
9	1	0.05	-3.0140194454315865	3
9	2	0.05	-3.0381096321087866	3
