Img	Target_Label	Epsilon	Objective_Value	Label
1	0	0.05	-5.64730109953925	2
1	1	0.05	-5.632386990403565	2
1	3	0.05	1.5488070623662356	2
1	4	0.05	-4.752516976487554	2
1	5	0.05	-2.904001797496408	2
1	6	0.05	-2.0729423294846123	2
1	7	0.05	-3.470963814714909	2
1	8	0.05	-1.8393772121149603	2
1	9	0.05	-5.623181453785209	2
2	1	0.05	-7.620641091441112	0
2	2	0.05	-7.546276026443892	0
2	3	0.05	-7.639298221689834	0
2	4	0.05	-7.613909097414292	0
2	5	0.05	-7.7402645334340425	0
2	6	0.05	-7.530924997337844	0
2	7	0.05	-7.681483731995355	0
2	8	0.05	-7.410731052495553	0
2	9	0.05	-7.735560051485846	0
3	0	0.05	-3.491411760679488	4
3	1	0.05	-3.1242258112848877	4
3	2	0.05	-3.416164185413489	4
3	3	0.05	-3.524914996576689	4
3	5	0.05	-3.51740004678251	4
3	6	0.05	-3.433830892008048	4
3	7	0.05	-0.9800238015864116	4
3	8	0.05	-3.458470494765425	4
3	9	0.05	2.9222846203527313	4
4	0	0.05	3.8194003258864715	8
4	1	0.05	1.1877923546848357	8
4	2	0.05	5.75775542913144	8
4	3	0.05	6.7133932803887255	8
4	4	0.05	0.10880014707292629	8
4	5	0.05	6.409036827584113	8
4	6	0.05	6.158372152360381	8
4	7	0.05	2.727024683053384	8
4	9	0.05	3.4734206452640835	8
5	0	0.05	-7.627094874304364	7
5	1	0.05	-4.4847109664145055	7
5	2	0.05	-7.290071099409843	7
5	3	0.05	-5.224958894568266	7
5	4	0.05	-6.812741809968748	7
5	5	0.05	-7.625000713264607	7
5	6	0.05	-7.64434149107196	7
5	8	0.05	-7.6954166281976	7
5	9	0.05	-7.49181946836647	7
6	0	0.05	-5.802856188731528	6
6	1	0.05	-5.888472106692681	6
6	2	0.05	-5.861728540306618	6
6	3	0.05	-5.607771362828658	6
6	4	0.05	-4.759284010856708	6
6	5	0.05	-1.89087719228379	6
6	7	0.05	-5.963024842796447	6
6	8	0.05	0.44754749003121713	6
6	9	0.05	-2.470968397041977	6
7	1	0.05	-7.620450196267857	0
7	2	0.05	-7.548090697392251	0
7	3	0.05	-7.631218015932032	0
7	4	0.05	-7.668167851730523	0
7	5	0.05	-7.325007797209343	0
7	6	0.05	-7.5376063147438135	0
7	7	0.05	-7.680206680521401	0
7	8	0.05	-7.659330673993039	0
7	9	0.05	-7.739871205289414	0
8	0	0.05	-5.2539486351038525	6
8	1	0.05	-5.247493325079406	6
8	2	0.05	-5.216216990569086	6
8	3	0.05	-5.233032850672974	6
8	4	0.05	-5.164152230223424	6
8	5	0.05	0.37193954730420536	6
8	7	0.05	-5.314747928202772	6
8	8	0.05	1.2248852264967414	6
8	9	0.05	-5.3609758353414545	6
9	0	0.05	-0.04027715012848879	3
9	1	0.05	3.864863427870264	3
9	2	0.05	3.270239120672155	3
9	4	0.05	-0.05336228666009153	3
9	5	0.05	5.863805375524401	3
9	6	0.05	0.24766680860088935	3
9	7	0.05	-0.10792488154237218	3
9	8	0.05	6.897923932168805	3
9	9	0.05	-0.14729763219100764	3
10	0	0.05	-5.507254033325449	1
10	2	0.05	0.9411931235792804	1
10	3	0.05	-5.19497659757098	1
10	4	0.05	-3.7874132421018194	1
10	5	0.05	-2.3448910660581572	1
10	6	0.05	-4.19365420952576	1
10	7	0.05	0.4535960728892435	1
10	8	0.05	-0.8622288450967643	1
10	9	0.05	-5.57798913963984	1
11	0	0.05	-1.4667499635573924	8
11	1	0.05	-1.454737528648363	8
11	2	0.05	3.1484416738649044	8
11	3	0.05	-1.4800371469331313	8
11	4	0.05	1.8323223984275587	8
11	5	0.05	3.215446861925692	8
11	6	0.05	5.745931228351766	8
11	7	0.05	-1.5443809709461231	8
11	9	0.05	3.51786619756866	8
12	1	0.05	-7.611768460485364	0
12	2	0.05	-7.452152847783897	0
12	3	0.05	-7.556387553362898	0
12	4	0.05	-7.570660662803104	0
12	5	0.05	-7.721930886757386	0
12	6	0.05	-7.119618650170254	0
12	7	0.05	-7.674630225445534	0
12	8	0.05	-6.439513886329842	0
12	9	0.05	-5.526958980795834	0
13	0	0.05	-5.8279132347286104	7
13	1	0.05	-5.867099446002034	7
13	2	0.05	-2.1119537031626168	7
13	3	0.05	-2.1531632489555395	7
13	4	0.05	-5.9482743298425005	7
13	5	0.05	-3.2858035612881236	7
13	6	0.05	-5.952479077510827	7
13	8	0.05	-5.9925633245225125	7
13	9	0.05	0.02536935176009853	7
14	0	0.05	-4.823164757218951	9
14	1	0.05	-4.752504281056783	9
14	2	0.05	-4.745327542240519	9
14	3	0.05	-3.1611172926938202	9
14	4	0.05	-2.2302439578633577	9
14	5	0.05	-4.818195927695378	9
14	6	0.05	-4.845446947675775	9
14	7	0.05	0.6171366062051711	9
14	8	0.05	-0.9783571421460353	9
15	0	0.05	-7.668075585440193	8
15	1	0.05	-7.6338733409393775	8
15	2	0.05	-3.417018451295136	8
15	3	0.05	-6.6411955439121	8
15	4	0.05	-7.656772703265267	8
15	5	0.05	-5.35298825283389	8
15	6	0.05	-7.655423211493408	8
15	7	0.05	-4.589271952823158	8
15	9	0.05	-0.07897285604692669	8
16	0	0.05	0.2172408288763793	4
16	1	0.05	-2.730652334415831	4
16	2	0.05	-1.8325201178353843	4
16	3	0.05	-2.815412921290385	4
16	5	0.05	-2.8525274682932125	4
16	6	0.05	-2.6506299028668567	4
16	7	0.05	-2.832397077800655	4
16	8	0.05	2.1859893410763154	4
16	9	0.05	-2.292725159261438	4
17	0	0.05	-1.5092073082634179	5
17	1	0.05	-7.395048354179289	5
17	2	0.05	-7.366393204816625	5
17	3	0.05	-1.51720292985835	5
17	4	0.05	-5.432360498107686	5
17	6	0.05	-6.398653823775298	5
17	7	0.05	-6.8216482309956605	5
17	8	0.05	-6.9124220785476105	5
17	9	0.05	-5.169942803812908	5
18	0	0.05	0.17039974389923218	3
18	1	0.05	1.3131526839172871	3
18	2	0.05	-1.101695401420691	3
18	4	0.05	0.7523586670232564	3
18	5	0.05	5.061023096447791	3
18	6	0.05	-0.9901506523918805	3
18	7	0.05	-1.2938087479372034	3
18	8	0.05	-0.03666678693994883	3
18	9	0.05	4.420320756368993	3
19	0	0.05	-2.179122382348158	4
19	1	0.05	0.4044475343808088	4
19	2	0.05	-2.10383405196855	4
19	3	0.05	2.405535443170998	4
19	5	0.05	-2.044328345357867	4
19	6	0.05	-2.180005393247373	4
19	7	0.05	2.2466911560773166	4
19	8	0.05	-2.109297007877966	4
19	9	0.05	4.250563914665596	4
20	1	0.05	-0.7797217838011792	0
20	2	0.05	-0.14614605873031805	0
20	3	0.05	-0.763453700031256	0
20	4	0.05	0.2195998723876056	0
20	5	0.05	2.647938932499354	0
20	6	0.05	-0.7035460202708649	0
20	7	0.05	4.910750560755865	0
20	8	0.05	4.5104104740420645	0
20	9	0.05	4.957513288037725	0
21	0	0.05	1.3409665168458285	6
21	1	0.05	-0.852771245224374	6
21	2	0.05	0.8654746835041934	6
21	3	0.05	0.5244241556654822	6
21	4	0.05	4.44990471305004	6
21	5	0.05	2.6952886955883844	6
21	7	0.05	4.364096637038665	6
21	8	0.05	2.0106247922690645	6
21	9	0.05	1.7661236825939661	6
22	0	0.05	-3.4393255237397065	6
22	1	0.05	-3.33647198486293	6
22	2	0.05	1.274249043117459	6
22	3	0.05	-0.03788413790346022	6
22	4	0.05	2.5266612255543333	6
22	5	0.05	2.175079818925333	6
22	7	0.05	1.2110675035545742	6
22	8	0.05	2.616265459465814	6
22	9	0.05	-2.288435002069285	6
23	0	0.05	-0.023784024399743527	3
23	1	0.05	2.861686617691606	3
23	2	0.05	5.821688772112541	3
23	4	0.05	-0.6419552345624501	3
23	5	0.05	6.0207358827684265	3
23	6	0.05	-0.16062547567080226	3
23	7	0.05	-0.6727338692508976	3
23	8	0.05	-0.6012512458607348	3
23	9	0.05	-0.7218589488026981	3
24	1	0.05	-3.739314482380932	0
24	2	0.05	-1.5259790636563033	0
24	3	0.05	-3.7180628512574607	0
24	4	0.05	-3.425126893037922	0
24	5	0.05	-1.1635834065385318	0
24	6	0.05	-1.1422628418248255	0
24	7	0.05	-3.806059824980409	0
24	8	0.05	-3.727760497362545	0
24	9	0.05	-3.5741900539363	0
25	0	0.05	-7.6707442661988665	2
25	1	0.05	-7.02954925951004	2
25	3	0.05	-5.129837204055362	2
25	4	0.05	-7.690586644823559	2
25	5	0.05	-7.7528982017348405	2
25	6	0.05	-7.567497423957372	2
25	7	0.05	-7.789250339304915	2
25	8	0.05	-7.683583203120074	2
25	9	0.05	-7.808771564941444	2
26	0	0.05	-7.955716982104179	3
26	1	0.05	-7.912681764221231	3
26	2	0.05	-7.386978105783244	3
26	4	0.05	-7.978048848548928	3
26	5	0.05	-8.002122414912405	3
26	6	0.05	-7.951062302923058	3
26	7	0.05	-8.03173176417981	3
26	8	0.05	-7.9361306757567744	3
26	9	0.05	-8.041410030614266	3
27	0	0.05	0.49457735356206756	6
27	1	0.05	4.605736549060789	6
27	2	0.05	4.594325661319913	6
27	3	0.05	1.2009843777141458	6
27	4	0.05	5.669782946611223	6
27	5	0.05	6.428547278556955	6
27	7	0.05	3.9396510055480123	6
27	8	0.05	5.650407055641705	6
27	9	0.05	-0.3022552595470174	6
28	0	0.05	-4.528516266192537	6
28	1	0.05	-4.519483559318011	6
28	2	0.05	1.5594446095785317	6
28	3	0.05	-4.243350981899386	6
28	4	0.05	-3.951606886592729	6
28	5	0.05	0.2817960671734397	6
28	7	0.05	-4.609696272126669	6
28	8	0.05	-1.3306167795333987	6
28	9	0.05	-4.628507751349881	6
29	0	0.05	-7.611786142500633	7
29	1	0.05	-7.497236933418316	7
29	2	0.05	-7.427983891256906	7
29	3	0.05	-7.609300428829213	7
29	4	0.05	-7.591840127759017	7
29	5	0.05	-4.301600771870979	7
29	6	0.05	-7.603483634062357	7
29	8	0.05	-3.9969714028398866	7
29	9	0.05	-7.546410271748549	7
30	0	0.05	-6.30583207468116	4
30	1	0.05	-6.988034967391086	4
30	2	0.05	-5.0318233211139685	4
30	3	0.05	-4.200576005391378	4
30	5	0.05	-3.1487735056643587	4
30	6	0.05	-6.404180186744614	4
30	7	0.05	-1.695340374061185	4
30	8	0.05	-7.150466501077385	4
30	9	0.05	-2.261314084911017	4
32	0	0.05	-7.9645686192585625	3
32	1	0.05	-7.915442705182711	3
32	2	0.05	-7.7819950018028585	3
32	4	0.05	-7.984101839582487	3
32	5	0.05	-7.919867111716546	3
32	6	0.05	-7.97469036878341	3
32	7	0.05	-7.976980916907194	3
32	8	0.05	-7.956626462185332	3
32	9	0.05	-8.04299219379352	3
33	0	0.05	-0.594087774718658	8
33	1	0.05	-0.5423198035228673	8
33	2	0.05	5.128456804226927	8
33	3	0.05	0.5415273040796847	8
33	4	0.05	0.04325199915513743	8
33	5	0.05	-0.15570231499752385	8
33	6	0.05	-0.5676328863619756	8
33	7	0.05	-0.6967372498741787	8
33	9	0.05	0.58092407508856	8
35	0	0.05	-7.428075280324352	5
35	1	0.05	-7.421814296166818	5
35	2	0.05	-7.406440775325058	5
35	3	0.05	-7.1611679244009805	5
35	4	0.05	-7.444748690318335	5
35	6	0.05	-6.737461433316911	5
35	7	0.05	-7.487996273266606	5
35	8	0.05	-7.362029366714036	5
35	9	0.05	-7.073772413819041	5
36	0	0.05	-1.940485564549731	4
36	1	0.05	-1.889712911923469	4
36	2	0.05	-1.8622475311140811	4
36	3	0.05	-1.9768062475830386	4
36	5	0.05	-0.8711472855830094	4
36	6	0.05	0.7722484442085887	4
36	7	0.05	1.1999439558647145	4
36	8	0.05	3.4988577204751787	4
36	9	0.05	3.256426388639342	4
37	0	0.05	-6.8547024449722604	2
37	1	0.05	-6.843793949264782	2
37	3	0.05	-3.659890260690066	2
37	4	0.05	-6.880817321578327	2
37	5	0.05	-6.94060629571231	2
37	6	0.05	-6.843870691971267	2
37	7	0.05	-6.966201439605418	2
37	8	0.05	-6.862391993985723	2
37	9	0.05	-6.986011868433991	2
38	0	0.05	-7.418661946610897	5
38	1	0.05	-7.410877726479132	5
38	2	0.05	-6.460464189260067	5
38	3	0.05	-7.273587859093022	5
38	4	0.05	-7.436798587427229	5
38	6	0.05	-7.310864706731668	5
38	7	0.05	-7.480868378123297	5
38	8	0.05	-3.3930326223176293	5
38	9	0.05	-7.5172013894665275	5
39	0	0.05	5.6785294991135835	5
39	1	0.05	6.517801768577611	5
39	2	0.05	6.9420896905101745	5
39	3	0.05	6.670611123443953	5
39	4	0.05	7.650968381572719	5
39	6	0.05	7.61675547356705	5
39	7	0.05	5.8345661253582985	5
39	8	0.05	4.749424638490131	5
39	9	0.05	7.141563103958958	5
40	0	0.05	-0.4900337169572478	8
40	1	0.05	-0.010533394334167884	8
40	2	0.05	2.9647773882361146	8
40	3	0.05	4.0494278816842115	8
40	4	0.05	2.8010854362258333	8
40	5	0.05	6.024985069325435	8
40	6	0.05	1.675757668008171	8
40	7	0.05	-0.5673485199240972	8
40	9	0.05	0.7622383783558843	8
41	0	0.05	-7.426889903966735	5
41	1	0.05	-7.42143546460783	5
41	2	0.05	-7.405338010364847	5
41	3	0.05	-6.9649728782606966	5
41	4	0.05	-7.443144899547684	5
41	6	0.05	-7.325439124589833	5
41	7	0.05	-7.417627267745986	5
41	8	0.05	-6.922170757678856	5
41	9	0.05	-1.37844779415482	5
42	0	0.05	-7.622131551978598	2
42	1	0.05	-7.614314494297668	2
42	3	0.05	0.24163494419763065	2
42	4	0.05	-7.654021028571996	2
42	5	0.05	-7.651056535637744	2
42	6	0.05	-7.631892727259086	2
42	7	0.05	-7.224180607484912	2
42	8	0.05	-5.373236105191011	2
42	9	0.05	-7.438902283814184	2
43	0	0.05	-0.37268345519080426	9
43	1	0.05	-0.8604858020943679	9
43	2	0.05	-1.298673286087755	9
43	3	0.05	-0.461801317105177	9
43	4	0.05	6.158227512036559	9
43	5	0.05	-1.2254065316478004	9
43	6	0.05	-1.260582599730904	9
43	7	0.05	-1.409011423873516	9
43	8	0.05	-0.6344355398086196	9
44	0	0.05	1.3261078596966682	2
44	1	0.05	-5.676123603369459	2
44	3	0.05	-3.275750980876552	2
44	4	0.05	-3.7037652004325814	2
44	5	0.05	-5.779630181712984	2
44	6	0.05	1.3749904548886724	2
44	7	0.05	-1.2690344464080825	2
44	8	0.05	-5.746487781879608	2
