Img	Target_Label	Epsilon	Objective_Value	Label
1	0	0.025	-7.658901481533281	2
1	1	0.025	-7.644099448386368	2
1	3	0.025	-3.828229683263735	2
1	4	0.025	-7.682676127609843	2
1	5	0.025	-7.737958404146627	2
1	6	0.025	-7.545879161072783	2
1	7	0.025	-7.761275505208613	2
1	8	0.025	-7.509540166743237	2
1	9	0.025	-7.781880270898491	2
2	1	0.025	-7.622374346168938	0
2	2	0.025	-7.549390779301659	0
2	3	0.025	-7.641872541548144	0
2	4	0.025	-7.666630171226306	0
2	5	0.025	-7.743965433392036	0
2	6	0.025	-7.538525991232764	0
2	7	0.025	-7.684753335611671	0
2	8	0.025	-7.665902270653311	0
2	9	0.025	-7.742519130060735	0
3	0	0.025	-7.686416433664064	4
3	1	0.025	-7.61193576200105	4
3	2	0.025	-7.624094382049577	4
3	3	0.025	-7.748567484347752	4
3	5	0.025	-7.730324088339331	4
3	6	0.025	-7.692542169339675	4
3	7	0.025	-7.750510910727049	4
3	8	0.025	-7.657561306240664	4
3	9	0.025	-5.832561592471187	4
4	0	0.025	-3.417432657950835	8
4	1	0.025	-3.378768777868635	8
4	2	0.025	-3.3182133724586746	8
4	3	0.025	-3.2535461432863553	8
4	4	0.025	-3.470847155437594	8
4	5	0.025	-3.466112309348045	8
4	6	0.025	-0.7155584374698968	8
4	7	0.025	-3.4969059936248077	8
4	9	0.025	-3.569736089181337	8
5	0	0.025	-7.636336481628295	7
5	1	0.025	-7.5028278848379495	7
5	2	0.025	-7.496235624452816	7
5	3	0.025	-7.6558121803632995	7
5	4	0.025	-7.638387835517398	7
5	5	0.025	-7.65651253630597	7
5	6	0.025	-7.654548058560835	7
5	8	0.025	-7.709002958959538	7
5	9	0.025	-7.588361060482745	7
6	0	0.025	-7.826644657567179	6
6	1	0.025	-7.810682447440724	6
6	2	0.025	-7.773147212185858	6
6	3	0.025	-7.858989838413574	6
6	4	0.025	-7.8196067598190915	6
6	5	0.025	-7.875479158214968	6
6	7	0.025	-7.908973755635688	6
6	8	0.025	-6.598771645922436	6
6	9	0.025	-7.7357138248752335	6
7	1	0.025	-7.621768677866087	0
7	2	0.025	-7.548757976500838	0
7	3	0.025	-7.640781960880791	0
7	4	0.025	-7.66950663100045	0
7	5	0.025	-7.745161930090342	0
7	6	0.025	-7.540996082790476	0
7	7	0.025	-7.685770593927305	0
7	8	0.025	-7.672373758205313	0
7	9	0.025	-7.743094993550883	0
8	0	0.025	-7.822578026192006	6
8	1	0.025	-7.811542365427703	6
8	2	0.025	-7.776494542383818	6
8	3	0.025	-7.838840495845039	6
8	4	0.025	-7.81327568860384	6
8	5	0.025	-7.178073219100008	6
8	7	0.025	-7.8994011746869255	6
8	8	0.025	-5.310026698140133	6
8	9	0.025	-7.927361576391539	6
9	0	0.025	-5.0714690055262235	3
9	1	0.025	-4.829818564077403	3
9	2	0.025	-4.963913099328081	3
9	4	0.025	-5.103264518789846	3
9	5	0.025	-2.37586650270863	3
9	6	0.025	-5.021816253650806	3
9	7	0.025	-5.143479502620241	3
9	8	0.025	-3.4606709118417656	3
9	9	0.025	-5.185422490016891	3
10	0	0.025	-7.666784898617175	1
10	2	0.025	-7.011319871638029	1
10	3	0.025	-7.622214453399599	1
10	4	0.025	-7.655434220663285	1
10	5	0.025	-7.70107099832993	1
10	6	0.025	-7.671979769597248	1
10	7	0.025	-6.980628230579478	1
10	8	0.025	-7.681743016271063	1
10	9	0.025	-7.749474355570447	1
11	0	0.025	-7.532662200727666	8
11	1	0.025	-7.515210737978518	8
11	2	0.025	-7.4848328679494935	8
11	3	0.025	-7.531023566716447	8
11	4	0.025	-7.236843468660798	8
11	5	0.025	-7.3602973265984275	8
11	6	0.025	-3.242819790761827	8
11	7	0.025	-7.592206457974967	8
11	9	0.025	-7.614957821815286	8
12	1	0.025	-7.620930924566174	0
12	2	0.025	-7.546851063979183	0
12	3	0.025	-7.638608726303795	0
12	4	0.025	-7.668054157438755	0
12	5	0.025	-7.742746453690373	0
12	6	0.025	-7.540651957953191	0
12	7	0.025	-7.685503802517026	0
12	8	0.025	-7.670719324714238	0
12	9	0.025	-7.446836642309184	0
13	0	0.025	-7.634221635380519	7
13	1	0.025	-7.555944990416474	7
13	2	0.025	-6.951868636674268	7
13	3	0.025	-7.651682844087453	7
13	4	0.025	-7.636274580598175	7
13	5	0.025	-7.647779435747899	7
13	6	0.025	-7.655434008651193	7
13	8	0.025	-7.7055439418932075	7
13	9	0.025	-7.50261596295286	7
14	0	0.025	-7.789926098329963	9
14	1	0.025	-7.719265472043901	9
14	2	0.025	-7.729630073069268	9
14	3	0.025	-7.2698386019542625	9
14	4	0.025	-7.442849027963927	9
14	5	0.025	-7.80943411174857	9
